rand_point,nilai,lat,long
"120","26",-1.264,100.738
"121","21",-1.448,100.835
"122","16",-1.197,100.750
"123","16",-1.458,100.722
"124","28",-1.866,101.102
"125","23",-1.420,100.696
"126","23",-1.533,100.661
"127","26",-1.103,100.528
"128","14",-2.117,100.918
"129","10",-1.742,100.941
"130","22",-1.160,100.763
"131","30",-1.664,100.867
"132","25",-1.589,100.711
"133","13",-2.303,100.937
"134","21",-1.134,100.410
"135","25",-1.286,100.494
"136","18",-2.063,100.921
"137","19",-1.079,100.432
"138","29",-1.294,100.778
"139","30",-1.344,100.885
"140","28",-2.325,101.103
"141","27",-1.980,101.133
"142","11",-1.630,100.898
"143","18",-1.772,100.925
"144","16",-2.124,101.032
"145","15",-1.547,100.952
"146","24",-1.001,100.513
"147","26",-1.466,100.888
"148","25",-1.382,100.702
"149","19",-2.080,100.987
"150","14",-1.306,100.749
"151","20",-1.064,100.563
"152","19",-2.010,100.952
"153","20",-1.470,100.726
"154","30",-1.215,100.644
"155","16",-2.332,101.206
"156","15",-1.549,100.708
"157","12",-1.925,100.951
"158","20",-1.978,100.951
"159","26",-1.603,100.966
"160","27",-1.924,101.090
"161","17",-1.939,100.965
"162","28",-1.956,101.151
"163","24",-1.717,100.963
"164","20",-1.876,101.075
"165","15",-1.867,101.132
"166","29",-1.339,100.582
"167","21",-1.533,100.961
"168","14",-1.597,100.927
"169","17",-2.300,101.059
"170","26",-1.188,100.493
"171","19",-1.110,100.540
"172","11",-1.358,100.612
"173","15",-1.585,100.995
"174","21",-1.616,100.973
"175","13",-1.292,100.500
"176","23",-2.154,101.074
"177","16",-1.058,100.495
"178","13",-2.212,101.101
"179","22",-1.945,100.942
"180","25",-1.550,100.847
"181","16",-1.679,100.900
"182","15",-2.129,100.869
"183","19",-1.658,100.685
"184","24",-1.470,100.763
"185","11",-2.028,101.051
"186","24",-1.548,100.636
"187","11",-2.149,101.085
"188","11",-1.984,101.119
"189","15",-2.206,100.995
"190","18",-2.020,101.033
"191","13",-1.268,100.661
"192","19",-1.586,100.686
"193","11",-1.397,100.834
"194","13",-1.481,100.741
"195","28",-2.351,101.139
"196","29",-1.404,100.600
"197","13",-1.968,101.088
"198","14",-1.133,100.744
"199","13",-2.313,100.890
"200","25",-1.342,100.574
"201","16",-1.814,100.864
"202","22",-1.395,100.805
"203","22",-1.664,100.870
"204","28",-1.557,100.781
"205","14",-1.437,100.739
"206","20",-1.396,100.766
"207","18",-1.133,100.462
"208","11",-2.242,101.188
"209","12",-1.310,100.745
"210","23",-1.687,100.924
"211","17",-1.472,100.867
"212","25",-2.395,101.078
"213","28",-2.234,101.117
"214","13",-1.861,100.827
"215","28",-1.643,100.676
"216","24",-2.253,101.105
"217","20",-2.264,101.059
"218","24",-1.554,100.902
"219","25",-2.028,101.062
"220","13",-1.176,100.563
"221","28",-2.052,100.890
"222","24",-2.044,100.977
"223","13",-1.806,100.888
"224","15",-1.906,101.018
"225","16",-2.241,100.957
"226","12",-2.135,101.048
"227","28",-1.908,101.097
"228","23",-1.856,100.827
"229","12",-1.192,100.621
"230","11",-1.536,100.700
"231","11",-1.705,101.061
"232","29",-1.072,100.451
"233","14",-1.535,100.886
"234","28",-1.439,100.649
"235","21",-2.318,101.017
"236","28",-1.255,100.438
"237","17",-1.557,100.652
"238","24",-1.931,101.111
"239","21",-1.109,100.517
"240","17",-1.176,100.752
"241","24",-1.180,100.453
"242","16",-1.759,100.786
"243","30",-2.326,101.017
"244","27",-1.241,100.567
"245","18",-1.962,101.073
"246","23",-2.156,101.228
"247","10",-1.268,100.648
"248","15",-2.056,101.048
"249","11",-1.400,100.814
"250","21",-1.248,100.703
"251","17",-1.585,100.867
"252","22",-2.267,101.055
"253","28",-2.067,101.208
"254","28",-1.265,100.433
"255","27",-1.694,101.082
"256","10",-2.332,100.916
"257","16",-1.892,101.031
"258","10",-1.231,100.669
"259","21",-2.148,100.842
"260","29",-2.052,101.215
"261","27",-2.083,100.917
"262","26",-1.469,100.718
"263","18",-1.347,100.751
"264","20",-1.850,101.129
"265","27",-1.184,100.565
"266","11",-1.663,100.980
"267","18",-2.059,100.932
"268","18",-2.064,101.182
"269","21",-1.718,100.797
"270","23",-1.986,101.027
"271","11",-1.968,101.025
"272","18",-2.214,100.910
"273","26",-1.475,100.817
"274","20",-1.536,100.898
"275","12",-1.503,100.723
"276","20",-2.390,101.099
"277","17",-2.053,101.087
"278","21",-1.414,100.637
"279","27",-1.267,100.416
"280","15",-1.116,100.638
"281","25",-2.337,101.235
"282","11",-1.212,100.433
"283","13",-1.429,100.798
"284","26",-2.357,100.961
"285","27",-1.702,100.928
"286","24",-1.670,100.707
"287","10",-1.156,100.678
"288","25",-2.185,101.040
"289","30",-1.413,100.727
"290","25",-2.367,101.191
"291","16",-2.249,101.192
"292","13",-2.003,101.109
"293","22",-2.076,101.153
"294","23",-1.132,100.444
"295","11",-1.689,100.771
"296","19",-1.263,100.768
"297","17",-1.901,101.100
"298","13",-1.702,100.891
"299","13",-1.869,101.031
"300","22",-1.509,100.962
"301","29",-2.257,101.063
"302","10",-2.343,101.223
"303","13",-2.309,101.083
"304","25",-2.397,101.095
"305","12",-1.777,100.779
"306","12",-1.653,100.842
"307","22",-2.182,101.008
"308","15",-2.363,100.960
"309","21",-1.594,100.756
"310","29",-1.141,100.408
"311","16",-1.145,100.641
"312","16",-1.569,100.963
"313","20",-1.590,100.875
"314","23",-1.999,101.054
"315","19",-2.287,100.944
"316","13",-2.136,101.013
"317","17",-1.146,100.402
"318","18",-1.762,101.130
"319","30",-2.274,101.006
"320","29",-2.345,100.937
"321","11",-1.069,100.576
"322","30",-2.220,101.180
"323","28",-1.941,101.040
"324","13",-1.425,100.714
"325","23",-1.114,100.614
"326","11",-1.809,100.951
"327","23",-1.432,100.645
"328","20",-2.064,101.226
"329","19",-1.906,100.988
"330","10",-1.494,100.691
"331","16",-1.383,100.732
"332","12",-1.095,100.463
"333","26",-2.019,100.939
"334","30",-1.455,100.644
"335","18",-1.340,100.818
"336","30",-1.573,100.915
"337","15",-1.946,101.010
"338","22",-1.257,100.651
"339","13",-2.016,101.183
"340","15",-1.101,100.568
"341","25",-1.205,100.484
"342","20",-1.617,100.898
"343","26",-2.185,100.912
"344","23",-2.212,100.937
"345","28",-1.823,100.844
"346","21",-2.290,100.945
"347","28",-1.397,100.779
"348","30",-1.375,100.634
"349","25",-2.160,101.207
"350","11",-1.773,100.906
"351","30",-1.881,100.876
"352","14",-1.484,100.717
"353","15",-2.219,101.023
"354","12",-2.216,100.962
"355","14",-1.987,101.155
"356","15",-1.607,100.768
"357","23",-1.822,100.955
"358","28",-1.683,100.930
"359","16",-2.147,100.843
"360","29",-1.931,101.072
"361","25",-1.691,100.747
"362","14",-1.197,100.700
"363","22",-1.765,101.041
"364","12",-1.567,100.781
"365","28",-1.485,100.901
"366","20",-2.099,101.101
"367","15",-1.212,100.590
"368","27",-1.752,101.001
"369","24",-1.792,100.927
"370","13",-2.348,100.952
"371","23",-1.155,100.566
"372","15",-2.393,100.993
"373","22",-1.230,100.631
"374","17",-1.031,100.489
"375","13",-2.111,100.925
"376","15",-2.358,101.125
"377","19",-1.598,100.841
"378","15",-1.577,100.741
"379","28",-1.519,100.945
"380","18",-1.967,101.051
"381","12",-1.083,100.591
"382","26",-2.067,100.993
"383","14",-1.638,100.742
"384","20",-1.020,100.547
"385","29",-1.476,100.605
"386","17",-2.375,101.018
"387","13",-1.435,100.683
"388","17",-1.381,100.689
"389","16",-2.154,101.065
"390","29",-1.206,100.614
"391","23",-2.077,100.908
"392","23",-1.347,100.796
"393","25",-1.272,100.720
"394","27",-1.448,100.833
"395","10",-1.198,100.648
"396","13",-2.032,101.131
"397","24",-1.286,100.527
"398","28",-2.045,100.941
"399","30",-1.616,100.703
"400","23",-1.737,100.978
"401","28",-1.374,100.584
"402","13",-2.144,100.944
"403","27",-1.154,100.627
"404","13",-2.160,100.973
"405","23",-1.812,100.915
"406","28",-1.552,100.649
"407","27",-1.221,100.697
"408","20",-1.530,100.828
"409","27",-2.275,101.168
"410","10",-1.503,100.790
"411","16",-1.437,100.805
"412","13",-2.141,100.914
"413","29",-2.003,101.133
"414","11",-1.151,100.496
"415","29",-1.284,100.524
"416","25",-2.042,101.213
"417","12",-1.998,101.052
"418","27",-1.170,100.672
"419","26",-1.071,100.532
"420","21",-1.512,100.931
"421","20",-2.015,101.170
"422","13",-1.653,100.834
"423","29",-1.837,101.051
"424","30",-1.620,100.801
"425","18",-1.515,100.824
"426","10",-1.230,100.725
"427","20",-2.409,101.118
"428","17",-1.331,100.854
"429","28",-1.107,100.630
"430","28",-1.517,100.816
"431","25",-1.718,100.794
"432","17",-1.667,100.909
"433","25",-1.767,101.104
"434","10",-2.143,100.990
"435","25",-2.217,101.175
"436","23",-1.437,100.787
"437","18",-1.725,100.823
"438","26",-1.986,100.923
"439","13",-1.342,100.796
"440","12",-2.047,101.189
"441","23",-1.307,100.548
"442","18",-1.038,100.533
"443","23",-1.634,100.871
"444","16",-1.721,101.017
"445","13",-1.136,100.674
"446","19",-2.370,101.166
"447","16",-1.951,100.938
"448","29",-2.391,100.998
"449","15",-2.114,101.223
"450","30",-2.128,100.909
"451","21",-1.441,100.713
"452","21",-1.931,101.079
"453","12",-1.076,100.583
"454","20",-1.559,100.820
"455","10",-2.366,101.037
"456","30",-1.852,100.895
"457","22",-2.204,100.899
"458","20",-1.626,100.934
"459","14",-1.130,100.445
"460","24",-1.593,100.713
"461","27",-2.275,101.038
"462","23",-1.956,100.917
"463","16",-1.825,100.873
"464","10",-2.421,101.013
"465","27",-1.980,101.063
"466","27",-2.003,101.010
"467","14",-1.775,101.018
"468","17",-1.628,100.748
"469","17",-2.308,100.893
"470","10",-1.596,100.672
"471","29",-1.386,100.678
"472","28",-1.077,100.431
"473","16",-1.277,100.715
"474","22",-1.462,100.878
"475","26",-1.876,101.110
"476","15",-1.361,100.652
"477","13",-1.156,100.443
"478","24",-2.302,101.087
"479","20",-1.495,100.930
"480","18",-1.919,100.982
"481","28",-1.161,100.476
"482","23",-1.416,100.713
"483","10",-1.387,100.731
"484","11",-1.708,100.729
"485","19",-1.583,100.764
"486","17",-1.162,100.638
"487","21",-2.100,100.976
"488","25",-1.688,101.011
"489","28",-1.260,100.441
"490","22",-1.683,100.776
"491","27",-1.567,100.797
"492","16",-1.599,100.923
"493","25",-2.423,101.024
"494","16",-2.269,101.220
"495","26",-1.571,100.792
"496","10",-1.329,100.625
"497","20",-1.134,100.700
"498","18",-1.673,100.867
"499","10",-2.292,100.929
"500","16",-2.391,101.040
"501","20",-1.800,101.062
"502","16",-1.370,100.759
"503","21",-1.490,100.935
"504","22",-2.317,101.174
"505","19",-1.380,100.873
"506","23",-2.107,101.051
"507","22",-1.544,100.778
"508","19",-1.804,100.910
"509","10",-1.680,100.985
"510","26",-1.376,100.625
"511","30",-1.961,100.949
"512","13",-1.163,100.393
"513","17",-1.845,100.906
"514","14",-1.642,100.976
"515","11",-2.260,100.977
"516","20",-1.149,100.656
"517","29",-1.818,101.076
"518","30",-1.437,100.679
"519","18",-1.282,100.576
"520","16",-2.290,101.065
"521","20",-1.865,101.132
"522","15",-1.317,100.748
"523","21",-1.089,100.497
"524","12",-2.202,101.104
"525","23",-1.989,101.008
"526","25",-2.400,101.131
"527","25",-1.927,100.922
"528","16",-1.989,101.068
"529","12",-1.470,100.855
"530","29",-1.698,100.735
"531","21",-1.699,100.750
"532","26",-2.332,100.958
"533","28",-2.378,100.953
"534","15",-2.189,101.112
"535","15",-1.735,100.944
"536","15",-2.108,100.874
"537","27",-2.227,101.184
"538","27",-2.035,101.096
"539","15",-2.049,101.046
"540","28",-1.408,100.860
"541","21",-1.377,100.733
"542","16",-1.355,100.788
"543","10",-2.109,101.162
"544","25",-2.148,101.075
"545","27",-1.778,101.101
"546","20",-1.617,100.727
"547","18",-1.568,100.856
"548","30",-2.192,101.267
"549","22",-1.920,100.934
"550","18",-1.751,101.073
"551","20",-1.368,100.591
"552","29",-2.423,101.092
"553","24",-1.614,100.972
"554","27",-1.276,100.780
"555","25",-1.143,100.655
"556","23",-2.076,100.904
"557","16",-1.187,100.698
"558","16",-1.304,100.725
"559","25",-2.315,101.182
"560","19",-1.493,100.964
"561","17",-2.414,101.048
"562","10",-2.374,100.982
"563","28",-1.712,100.904
"564","19",-1.408,100.658
"565","22",-1.008,100.488
"566","11",-1.578,100.682
"567","23",-2.108,101.105
"568","22",-1.881,101.126
"569","29",-1.999,100.918
"570","20",-1.477,100.827
"571","16",-1.581,100.681
"572","17",-2.462,101.032
"573","16",-1.968,100.938
"574","21",-1.760,100.794
"575","19",-1.878,100.858
"576","15",-2.448,101.029
"577","18",-1.516,100.654
"578","12",-1.826,100.873
"579","27",-1.334,100.654
"580","24",-2.130,101.238
"581","21",-1.055,100.455
"582","19",-2.076,101.177
"583","13",-1.615,100.723
"584","30",-1.297,100.712
"585","28",-1.550,100.649
"586","18",-1.802,100.862
"587","14",-1.365,100.715
"588","28",-2.078,101.189
"589","30",-1.670,100.730
"590","20",-0.976,100.540
"591","21",-2.217,101.058
"592","21",-1.815,101.095
"593","16",-2.295,100.905
"594","19",-1.918,100.887
"595","14",-1.446,100.724
"596","16",-2.431,101.069
"597","18",-1.598,100.907
"598","15",-1.842,100.855
"599","13",-2.202,100.881
"600","25",-1.847,100.911
"601","12",-2.206,101.126
"602","11",-2.126,101.173
"603","30",-1.595,100.646
"604","28",-1.277,100.736
"605","25",-2.342,100.975
"606","25",-2.404,101.057
"607","30",-2.025,101.044
"608","25",-2.333,101.067
"609","25",-1.658,100.813
"610","11",-1.189,100.696
"611","23",-2.202,101.269
"612","19",-1.505,100.747
"613","27",-1.607,100.654
"614","16",-1.056,100.547
"615","15",-1.886,101.006
"616","18",-2.359,101.036
"617","21",-1.171,100.444
"618","18",-1.146,100.370
"619","15",-1.961,101.031
"620","27",-1.874,101.019
"621","20",-2.018,101.117
"622","21",-1.122,100.533
"623","21",-1.580,100.706
"624","13",-2.212,101.077
"625","27",-2.130,101.191
"626","18",-1.833,100.917
"627","13",-1.865,100.975
"628","18",-1.235,100.685
"629","23",-1.467,100.768
"630","29",-2.172,101.130
"631","20",-1.163,100.554
"632","13",-1.746,100.886
"633","29",-1.588,100.642
"634","12",-1.125,100.642
"635","28",-1.830,101.129
"636","25",-2.030,101.085
"637","19",-1.760,100.829
"638","18",-1.566,100.751
"639","21",-1.403,100.647
"640","28",-2.008,101.144
"641","21",-1.865,101.125
"642","30",-1.284,100.640
"643","28",-1.738,100.883
"644","11",-2.263,101.267
"645","14",-1.991,100.895
"646","17",-2.151,100.821
"647","21",-1.568,100.697
"648","21",-1.715,100.813
"649","25",-1.499,100.721
"650","19",-2.203,100.844
"651","22",-2.027,100.962
"652","28",-2.266,100.914
"653","15",-2.034,101.090
"654","15",-1.510,100.631
"655","13",-2.319,101.136
"656","22",-2.039,100.980
"657","24",-1.884,100.918
"658","29",-0.974,100.528
"659","10",-1.528,100.808
"660","30",-2.073,101.121
"661","26",-1.639,101.000
"662","24",-1.807,101.112
"663","17",-1.854,100.952
"664","12",-1.282,100.800
"665","12",-1.932,101.022
"666","14",-1.295,100.700
"667","22",-2.060,101.011
"668","13",-1.586,100.995
"669","16",-2.327,101.087
"670","23",-1.756,101.021
"671","28",-1.178,100.585
"672","18",-1.580,100.755
"673","23",-1.584,100.832
"674","25",-1.931,100.955
"675","20",-2.345,101.079
"676","11",-1.506,100.743
"677","19",-1.634,100.661
"678","20",-2.385,101.152
"679","24",-1.356,100.827
"680","13",-2.244,100.896
"681","30",-1.092,100.589
"682","18",-1.679,101.022
"683","13",-2.123,101.126
"684","19",-2.159,101.166
"685","14",-1.172,100.633
"686","25",-1.630,100.793
"687","25",-1.263,100.467
"688","25",-1.156,100.416
"689","29",-1.183,100.428
"690","20",-1.356,100.703
"691","18",-2.000,101.192
"692","27",-1.671,100.958
"693","30",-2.342,101.046
"694","15",-2.279,100.957
"695","30",-1.814,101.014
"696","18",-1.279,100.791
"697","19",-2.426,101.037
"698","10",-1.755,100.870
"699","16",-2.259,101.190
"700","30",-1.575,100.833
"701","13",-1.698,100.709
"702","24",-2.083,101.014
"703","25",-1.715,100.823
"704","22",-1.946,101.130
"705","11",-1.375,100.671
"706","25",-1.754,100.820
"707","24",-1.841,101.134
"709","24",-1.148,100.735
"710","29",-2.337,101.142
"711","24",-2.327,101.220
"712","28",-1.182,100.699
"713","26",-1.522,100.917
"714","14",-2.202,100.897
"715","23",-1.649,101.030
"716","11",-1.303,100.770
"717","15",-2.131,101.065
"718","12",-1.471,100.846
"719","17",-1.895,100.871
"720","26",-2.186,100.968
"721","22",-2.141,101.229
"722","26",-1.399,100.826
"723","10",-1.163,100.630
"724","10",-1.810,100.934
"725","20",-1.415,100.870
"726","30",-2.028,101.018
"727","13",-1.185,100.436
"728","11",-1.485,100.785
"729","10",-2.204,101.094
"730","27",-1.803,100.843
"731","12",-2.077,101.126
"732","20",-2.162,100.942
"733","15",-1.638,100.840
"734","17",-1.952,100.983
"735","16",-1.538,100.684
"736","16",-2.166,101.228
"737","24",-2.231,100.867
"738","23",-1.634,100.840
"739","19",-1.519,100.937
"740","14",-1.453,100.787
"741","17",-2.043,101.054
"742","22",-1.112,100.564
"743","12",-2.004,100.931
"744","10",-1.470,100.698
"745","29",-2.080,101.179
"746","25",-2.045,100.978
"747","10",-1.684,100.884
"748","15",-1.423,100.694
"749","28",-1.659,100.951
"750","16",-2.302,101.117
"751","21",-1.705,100.975
"752","28",-1.400,100.755
"753","26",-1.463,100.759
"754","20",-1.774,100.906
"755","20",-1.325,100.760
"756","24",-2.322,100.941
"757","30",-1.448,100.726
"758","27",-1.866,101.066
"759","27",-1.580,100.829
"760","27",-1.177,100.607
"761","28",-1.840,101.059
"762","19",-1.211,100.597
"763","12",-1.803,100.800
"764","25",-1.260,100.542
"765","26",-1.855,100.848
"766","27",-1.378,100.607
"767","14",-1.862,100.844
"768","24",-1.577,100.677
"769","17",-2.083,100.912
"770","28",-1.994,100.902
"771","27",-1.440,100.591
"772","29",-2.236,101.163
"773","22",-1.571,100.904
"774","14",-1.120,100.473
"775","20",-2.261,100.903
"776","13",-1.298,100.616
"777","10",-2.188,100.911
"778","20",-1.718,101.118
"779","23",-1.849,100.829
"780","19",-1.062,100.458
"781","16",-2.002,101.195
"782","29",-2.112,100.869
"783","14",-1.620,100.961
"784","18",-2.240,101.031
"785","22",-1.234,100.797
"786","23",-1.506,100.782
"787","18",-1.261,100.410
"788","10",-1.950,100.960
"789","22",-1.443,100.855
"790","29",-1.436,100.841
"791","24",-1.036,100.537
"792","24",-2.312,101.176
"793","18",-1.986,101.124
"794","23",-1.465,100.645
"795","25",-1.377,100.622
"796","14",-1.419,100.916
"797","15",-1.279,100.745
"798","11",-1.626,100.907
"799","26",-2.323,101.135
"800","30",-1.978,100.918
"801","15",-1.622,100.747
"802","29",-2.328,101.186
"803","27",-2.234,100.954
"804","18",-1.143,100.391
"805","28",-1.652,100.885
"806","10",-2.183,100.838
"807","21",-2.281,101.124
"808","22",-1.180,100.619
"809","17",-1.072,100.506
"810","12",-1.575,100.912
"811","19",-2.322,100.960
"812","22",-1.657,100.831
"813","27",-2.322,100.897
"814","10",-1.189,100.518
"815","21",-1.146,100.504
"816","19",-1.957,101.092
"817","19",-1.749,100.757
"818","19",-2.183,101.067
"819","30",-1.590,100.988
"820","22",-2.344,101.158
"821","28",-1.536,100.714
"822","18",-1.703,100.714
"823","18",-2.309,100.916
"824","24",-1.647,100.774
"825","25",-1.126,100.442
"826","17",-1.320,100.606
"827","24",-1.344,100.870
"828","25",-2.390,101.109
"829","30",-2.164,101.097
"830","30",-2.018,101.135
"831","18",-1.925,100.895
"832","11",-1.499,100.745
"833","23",-2.262,100.934
"834","29",-1.202,100.795
"835","22",-1.752,100.769
"836","22",-1.464,100.694
"837","12",-2.309,101.154
"838","26",-1.520,100.924
"839","27",-1.577,100.828
"840","13",-1.639,100.717
"841","22",-2.124,101.254
"842","20",-1.419,100.864
"843","17",-1.849,100.830
"844","24",-1.622,100.946
"845","29",-2.176,101.121
"846","21",-1.883,101.107
"847","26",-1.982,101.023
"848","15",-1.022,100.497
"849","12",-1.359,100.714
"850","24",-1.654,101.049
"851","27",-2.229,101.149
"852","23",-2.236,101.266
"853","24",-1.407,100.850
"854","28",-1.153,100.692
"855","14",-1.399,100.792
"856","29",-1.229,100.803
"857","14",-2.247,101.157
"858","24",-1.466,100.863
"859","17",-2.102,100.937
"860","19",-1.229,100.429
"861","18",-1.838,100.902
"862","24",-2.347,100.940
"863","15",-2.031,101.184
"864","21",-2.065,100.937
"865","10",-1.373,100.773
"866","24",-2.288,101.038
"867","25",-1.667,100.907
"868","27",-1.677,101.071
"869","18",-1.711,101.069
"870","23",-1.742,100.872
"871","16",-2.340,100.938
"872","27",-1.237,100.551
"873","23",-1.311,100.857
"874","16",-2.212,101.071
"875","22",-1.687,101.128
"876","24",-1.919,100.924
"877","14",-2.224,100.959
"878","21",-2.039,101.165
"879","22",-2.154,101.229
"880","11",-2.363,101.188
"881","11",-2.017,100.947
"882","13",-1.159,100.484
"883","15",-1.065,100.493
"884","30",-1.629,100.890
"885","26",-2.320,100.919
"886","12",-1.014,100.533
"887","10",-1.834,101.113
"888","21",-1.389,100.874
"889","30",-2.287,101.222
"890","10",-2.333,100.971
"891","22",-2.055,101.072
"892","19",-1.844,101.112
"893","14",-1.308,100.538
"894","17",-1.251,100.602
"895","15",-1.827,100.914
"896","19",-1.941,101.151
"897","17",-1.287,100.740
"898","27",-1.861,100.991
"899","24",-1.659,100.902
"900","22",-1.455,100.786
"901","27",-1.797,101.016
"902","23",-1.169,100.479
"903","30",-2.404,100.969
"904","14",-1.681,100.763
"905","28",-1.705,100.769
"906","26",-1.991,100.998
"907","16",-2.151,100.843
"908","10",-2.195,101.259
"909","19",-1.688,100.741
"910","15",-2.327,101.034
"911","26",-1.531,100.981
"912","24",-1.523,100.715
"913","25",-1.885,101.083
"914","25",-1.255,100.579
"915","19",-2.309,101.075
"916","25",-1.375,100.754
"917","27",-1.742,100.966
"918","21",-1.684,100.807
"919","20",-1.251,100.407
"920","12",-2.155,100.955
"921","14",-1.167,100.689
"922","20",-2.073,101.053
"923","10",-2.202,101.242
"924","17",-2.267,101.103
"925","17",-1.786,100.782
"926","15",-1.232,100.649
"927","19",-1.503,100.895
"928","15",-1.310,100.602
"929","30",-1.308,100.611
"930","17",-1.568,100.991
"931","17",-2.062,100.904
"932","27",-1.849,101.129
"933","16",-2.295,100.958
"934","25",-1.291,100.681
"935","12",-1.600,100.752
"936","15",-1.533,100.698
"937","30",-1.397,100.805
"938","13",-1.527,100.878
"939","18",-1.798,100.846
"940","21",-1.246,100.695
"941","30",-1.192,100.604
"942","28",-2.240,100.955
"943","15",-2.247,101.100
"944","27",-1.758,101.119
"945","13",-1.379,100.769
"946","25",-1.291,100.673
"947","11",-1.290,100.569
"948","21",-1.647,101.040
"949","16",-1.014,100.524
"950","19",-1.046,100.507
"951","13",-1.227,100.663
"952","29",-1.082,100.466
"953","24",-1.365,100.722
"954","19",-2.160,101.187
"955","27",-1.708,100.820
"956","22",-1.158,100.429
"957","16",-1.711,100.721
"958","14",-1.480,100.765
"959","25",-2.389,101.127
"960","10",-1.168,100.442
"961","29",-1.928,101.091
"962","14",-2.291,100.904
"963","20",-1.568,100.943
"964","18",-0.975,100.526
"965","27",-1.666,101.046
"966","13",-2.250,101.068
"967","23",-1.528,100.735
"968","30",-1.309,100.546
"969","20",-1.795,100.941
"970","17",-1.196,100.462
"971","20",-1.826,100.874
"972","15",-1.811,101.051
"973","15",-2.260,101.186
"974","25",-1.725,101.099
"975","23",-2.249,101.106
"976","22",-1.653,100.884
"977","11",-1.184,100.444
"978","21",-1.683,100.939
"979","27",-2.194,101.070
"980","13",-1.564,100.662
"981","21",-1.381,100.675
"982","27",-1.950,100.980
"983","25",-1.286,100.703
"984","22",-2.097,101.077
"985","10",-1.056,100.555
"986","21",-1.476,100.847
"987","11",-1.964,100.980
"988","23",-1.675,100.960
"989","10",-1.665,100.876
"990","13",-1.194,100.470
"991","22",-2.282,101.071
"992","20",-1.191,100.638
"993","12",-2.161,101.164
"994","25",-1.354,100.892
"995","18",-1.736,100.981
"996","27",-1.948,100.892
"997","30",-1.632,100.792
"998","10",-2.356,101.186
